,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
19,428454001,428454,Omega bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Imitation suede shopper with a lower section in imitation leather. Handle and magnetic fastener at the top and a detachable, adjustable shoulder strap. Lined. Size 37.5x39 cm.",bag,bag/0428454001.jpg
20,428454002,428454,Omega bag,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Imitation suede shopper with a lower section in imitation leather. Handle and magnetic fastener at the top and a detachable, adjustable shoulder strap. Lined. Size 37.5x39 cm.",bag,bag/0428454002.jpg
21,436570008,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570008.jpg
22,436570015,436570,Moscow cross bag,66,Bag,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570015.jpg
23,436570019,436570,Moscow cross bag,66,Bag,Accessories,1010016,Solid,42,Red,5,Bright,18,Red,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570019.jpg
24,436570021,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,22,Yellow,7,Medium,8,Yellow,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570021.jpg
25,436570023,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570023.jpg
26,436570024,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570024.jpg
27,436570025,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570025.jpg
28,436570026,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570026.jpg
29,436570028,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,22,Yellow,2,Medium Dusty,8,Yellow,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570028.jpg
30,436570033,436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,22,Yellow,7,Medium,8,Yellow,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",bag,bag/0436570033.jpg
31,446155003,446155,Lea Shopper,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Shopper in grained imitation leather with two handles, a detachable shoulder strap and one outer compartment. Unlined. Size 40x42 cm.",bag,bag/0446155003.jpg
32,451704003,451704,Gary suede micro tote,66,Bag,Accessories,1010016,Solid,22,Yellow,7,Medium,8,Yellow,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Suede shoulder bag with two handles, a narrow detachable shoulder strap, one small outer compartment with a zip and a keyring that is attached with a strap. Zip at the top and two smaller inner compartments, one with a zip. Lined. Size 8x15x22 cm.",bag,bag/0451704003.jpg
33,451744001,451744,Joel straw shopper,66,Bag,Accessories,1010016,Solid,10,White,3,Light,9,White,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",bag,bag/0451744001.jpg
34,451744005,451744,Joel straw shopper,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",bag,bag/0451744005.jpg
35,451744006,451744,Joel straw shopper,66,Bag,Accessories,1010009,Glittering/Metallic,12,Light Beige,1,Dusty Light,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",bag,bag/0451744006.jpg
36,451744015,451744,Joel straw shopper,66,Bag,Accessories,1010009,Glittering/Metallic,12,Light Beige,1,Dusty Light,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",bag,bag/0451744015.jpg
37,451744018,451744,Joel straw shopper,66,Bag,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",bag,bag/0451744018.jpg
38,451774001,451774,Big Sarah Cross Bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, zip at the top and a zipped inner compartment. Lined. Size 6x16x24 cm.",bag,bag/0451774001.jpg
39,451774002,451774,Big Sarah Cross Bag,66,Bag,Accessories,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, zip at the top and a zipped inner compartment. Lined. Size 6x16x24 cm.",bag,bag/0451774002.jpg
40,468977001,468977,Selena Shopper,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Reversible shopper with a grained imitation leather outside, imitation suede inside and two handles at the top. Unlined. Size 14x28x38 cm.",bag,bag/0468977001.jpg
41,468977003,468977,Selena Shopper,66,Bag,Accessories,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Reversible shopper with a grained imitation leather outside, imitation suede inside and two handles at the top. Unlined. Size 14x28x38 cm.",bag,bag/0468977003.jpg
42,468977006,468977,Selena Shopper,66,Bag,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Reversible shopper with a grained imitation leather outside, imitation suede inside and two handles at the top. Unlined. Size 14x28x38 cm.",bag,bag/0468977006.jpg
43,473497002,473497,Zoella suede shopper,66,Bag,Accessories,1010016,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in soft, supple suede with two handles at the top, decorative seams front and back and a shimmering metallic inside. Unlined. Size 36x52 cm.",bag,bag/0473497002.jpg
44,473507001,473507,Lindsay shopper,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.,bag,bag/0473507001.jpg
45,473507002,473507,Lindsay shopper,66,Bag,Accessories,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.,bag,bag/0473507002.jpg
46,473507003,473507,Lindsay shopper,66,Bag,Accessories,1010016,Solid,42,Red,5,Bright,18,Red,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.,bag,bag/0473507003.jpg
47,473507004,473507,Lindsay shopper SPEED,66,Bag,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.,bag,bag/0473507004.jpg
48,473507006,473507,Lindsay shopper SPEED,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.,bag,bag/0473507006.jpg
49,474915001,474915,Kendall,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Soft shoulder bag in grained imitation leather and imitation suede with a zip at the top and adjustable shoulder strap. Lined. Size 29x35 cm unfolded.,bag,bag/0474915001.jpg
50,474915002,474915,Kendall,66,Bag,Accessories,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Soft shoulder bag in grained imitation leather and imitation suede with a zip at the top and adjustable shoulder strap. Lined. Size 29x35 cm unfolded.,bag,bag/0474915002.jpg
51,475762003,475762,Marais tote bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in grained imitation leather with two handles, a gold-coloured zip at the top and three inner compartments, one with a zip. Gold-coloured zips at the sides to adjust the size of the bag. Lined. Size 14x30.5x43 cm.",bag,bag/0475762003.jpg
52,482660011,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010001,All over pattern,31,Light Orange,3,Light,3,Orange,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660011.jpg
53,482660012,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010016,Solid,50,Other Pink,5,Bright,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660012.jpg
54,482660013,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660013.jpg
55,482660014,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660014.jpg
56,482660015,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010001,All over pattern,93,Dark Green,2,Medium Dusty,19,Green,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660015.jpg
57,482660016,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010001,All over pattern,22,Yellow,7,Medium,8,Yellow,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660016.jpg
58,482660018,482660,Cleo Cosmetic Bag,66,Bag,Accessories,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Make-up bag in transparent, patterned plastic with a zip at the top that continues half-way down each short side. Unlined. Size 8.5x10x18 cm.",bag,bag/0482660018.jpg
59,486195003,486195,Polly Bag,66,Bag,Accessories,1010026,Other structure,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Small shoulder bag in shimmering metallic imitation leather. Narrow adjustable shoulder strap and handle at the top, and two zipped compartments. Lined. Size 5.5x11x15 cm.",bag,bag/0486195003.jpg
60,489607003,489607,Hailey cross bag (1),66,Bag,Accessories,1010016,Solid,19,Greenish Khaki,4,Dark,1,Mole,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small bag in regenerated leather with a narrow metal chain shoulder strap, a decorative metal ring on the flap and two inner compartments. Lined. Size 4x13x21 cm.",bag,bag/0489607003.jpg
61,489607004,489607,Hailey cross bag (1),66,Bag,Accessories,1010016,Solid,32,Orange,2,Medium Dusty,11,Beige,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small bag in regenerated leather with a narrow metal chain shoulder strap, a decorative metal ring on the flap and two inner compartments. Lined. Size 4x13x21 cm.",bag,bag/0489607004.jpg
62,499396002,499396,TINA gymbag,66,Bag,Accessories,1010001,All over pattern,9,Black,4,Dark,5,Black,4322,Young Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Printed gym bag that can be worn as a backpack with a drawstring closure at the top and narrow contrasting colour shoulder straps. Size 35x45 cm.,bag,bag/0499396002.jpg
63,506413002,506413,Lars Gymbag (1),66,Bag,Accessories,1010001,All over pattern,9,Black,4,Dark,5,Black,6281,Bottoms Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,"Cylindrical sports bag in woven fabric with coated details and a print motif. Zip at the top, two handles that can be joined together with a hook and loop fastening and an adjustable shoulder strap. Lined. Size 24x40 cm.",bag,bag/0506413002.jpg
64,508045007,508045,Izzy shoulder bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Bag in soft imitation leather with an adjustable shoulder strap and zip at the top. Lined. Size 14x39x42.5 cm.,bag,bag/0508045007.jpg
65,509653003,509653,Poppy straw shopper,66,Bag,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in paper straw with two imitation leather handles, a zip at the top and two inner compartments. Lined. Size 12x41x54 cm.",bag,bag/0509653003.jpg
66,510618001,510618,Christie tote bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small handbag in sturdy grained imitation leather with a detachable shoulder strap, two handles, studs on the base and a tab decorated with a chunky metal chain that clips into a fastener on one long side. Two inner compartments, one with a zip. Unlined. Size 10x22.5x32 cm.",bag,bag/0510618001.jpg
67,510618004,510618,Christie tote bag,66,Bag,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small handbag in sturdy grained imitation leather with a detachable shoulder strap, two handles, studs on the base and a tab decorated with a chunky metal chain that clips into a fastener on one long side. Two inner compartments, one with a zip. Unlined. Size 10x22.5x32 cm.",bag,bag/0510618004.jpg
68,515581003,515581,Gabby cross bag (1),66,Bag,Accessories,1010016,Solid,43,Dark Red,7,Medium,18,Red,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Sturdy, round, imitation leather shoulder bag with a quilted front. Zip at the top, one small inner compartment and a metal chain shoulder strap. Lined. Size 5x18.5 cm.",bag,bag/0515581003.jpg
69,515581007,515581,Gabby cross bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Sturdy, round, imitation leather shoulder bag with a quilted front. Zip at the top, one small inner compartment and a metal chain shoulder strap. Lined. Size 5x18.5 cm.",bag,bag/0515581007.jpg
70,515581010,515581,Gabriel quilted round bag,66,Bag,Accessories,1010026,Other structure,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Sturdy, round, imitation leather shoulder bag with a quilted front. Zip at the top, one small inner compartment and a metal chain shoulder strap. Lined. Size 5x18.5 cm.",bag,bag/0515581010.jpg
71,520736002,520736,Viola shopper,66,Bag,Accessories,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shopper in grained imitation leather and imitation suede with matching clutch attached with a metal chain. Shopper with two shoulder straps with metal decorations and a tab with a carabiner hook on the inside to close the bag. Clutch with a zip at the top. Unlined. Size of shopper 14x32x40 cm, size of clutch 21x30 cm.",bag,bag/0520736002.jpg
72,522661009,522661,Milla mini pouch,66,Bag,Accessories,1010011,Metallic,61,Light Purple,3,Light,6,Lilac Purple,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Small pouch in imitation leather with a zip at the top. Size 5x6x8 cm.,bag,bag/0522661009.jpg
73,522661014,522661,Milla mini pouch,66,Bag,Accessories,1010014,Placement print,5,Gold,5,Bright,15,Metal,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Small pouch in imitation leather with a zip at the top. Size 5x6x8 cm.,bag,bag/0522661014.jpg
74,523890001,523890,Audrey Leather Hobo,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Soft suede bag with a handle and a detachable, adjustable shoulder strap. Zip at the top, outer compartment with a drawstring and three inner compartments, one with a zip. Lined. Size 14x34x35 cm.",bag,bag/0523890001.jpg
75,523891001,523891,Eclaire PQ tote,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Leather handbag with a detachable shoulder strap, two handles, zip at the top and a tab and metal fastener. Three smaller compartments, one with a zip. Twill lining. Size 14x28x37 cm.",bag,bag/0523891001.jpg
